,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA,AAPL,AMZN,CPNG,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-22,45.04915237426758,1581.4000244140625,,55.00199890136719,46.790000915527344,1581.4000244140625,,55.00199890136719,47.220001220703125,1589.8900146484375,,57.599998474121094,46.69499969482422,1575.25,,54.683998107910156,47.095001220703125,1589.8900146484375,,57.551998138427734,60962800,2115600,,44729000
2018-05-23,45.337989807128906,1601.8599853515625,,55.81399917602539,47.09000015258789,1601.8599853515625,,55.81399917602539,47.125,1601.8599853515625,,55.981998443603516,46.439998626708984,1566.3399658203125,,54.79999923706055,46.587501525878906,1571.050048828125,,55.551998138427734,80233600,3361900,,29925500
2018-05-24,45.28744125366211,1603.0699462890625,,55.56999969482422,47.037498474121094,1603.0699462890625,,55.56999969482422,47.209999084472656,1608.239990234375,,56.22200012207031,46.5525016784668,1588.3800048828125,,54.97800064086914,47.192501068115234,1598.030029296875,,55.68000030517578,92936000,3430000,,20883500
2018-05-25,45.390933990478516,1610.1500244140625,,55.77000045776367,47.14500045776367,1610.1500244140625,,55.77000045776367,47.412498474121094,1614.1199951171875,,55.928001403808594,46.912498474121094,1600.449951171875,,55.12200164794922,47.057498931884766,1603.0,,55.5260009765625,69844000,2698400,,19375500
2018-05-29,45.227256774902344,1612.8699951171875,,56.75199890136719,46.974998474121094,1612.8699951171875,,56.75199890136719,47.1875,1621.7900390625,,57.29999923706055,46.717498779296875,1600.1500244140625,,55.22999954223633,46.900001525878906,1600.7099609375,,55.70199966430664,90056400,3846500,,28333000
2018-05-30,45.13098907470703,1624.8900146484375,,58.34400177001953,46.875,1624.8900146484375,,58.34400177001953,47.0,1626.0,,59.00199890136719,46.69499969482422,1612.9300537109375,,56.31999969482422,46.93000030517578,1618.0999755859375,,56.65800094604492,74762000,2907400,,37448500
2018-05-31,44.979347229003906,1629.6199951171875,,56.94599914550781,46.717498779296875,1629.6199951171875,,56.94599914550781,47.057498931884766,1635.0,,58.07400131225586,46.53499984741211,1621.3499755859375,,56.58599853515625,46.80500030517578,1623.0,,57.44200134277344,109931200,3166300,,29598500
2018-06-01,45.79050064086914,1641.5400390625,,58.36399841308594,47.560001373291016,1641.5400390625,,58.36399841308594,47.564998626708984,1646.72998046875,,58.38999938964844,46.9375,1635.0899658203125,,56.768001556396484,46.997501373291016,1637.030029296875,,57.172000885009766,93770000,3313400,,27122000
2018-06-04,46.173213958740234,1665.27001953125,,59.347999572753906,47.95750045776367,1665.27001953125,,59.347999572753906,48.35499954223633,1665.6800537109375,,59.79999923706055,47.837501525878906,1645.489990234375,,58.709999084472656,47.90999984741211,1648.9000244140625,,58.86800003051758,105064800,3187700,,23989000
2018-06-05,46.529441833496094,1696.3499755859375,,58.22600173950195,48.32749938964844,1696.3499755859375,,58.22600173950195,48.48500061035156,1699.0,,59.560001373291016,48.09000015258789,1670.06005859375,,57.347999572753906,48.26750183105469,1672.989990234375,,59.540000915527344,86264000,4782200,,29976000
2018-06-06,46.690711975097656,1695.75,,63.900001525878906,48.494998931884766,1695.75,,63.900001525878906,48.52000045776367,1714.5,,64.43399810791016,47.97999954223633,1686.469970703125,,59.49599838256836,48.407501220703125,1704.510009765625,,60.099998474121094,83734400,5473200,,93836500
2018-06-07,46.5655517578125,1689.300048828125,,63.21799850463867,48.3650016784668,1689.300048828125,,63.21799850463867,48.54999923706055,1699.9000244140625,,66.0,48.084999084472656,1676.1099853515625,,62.715999603271484,48.53499984741211,1698.56005859375,,63.22999954223633,85388800,3765700,,71726500
2018-06-08,46.14192199707031,1683.989990234375,,63.53200149536133,47.92499923706055,1683.989990234375,,63.53200149536133,48.0,1689.43994140625,,64.89600372314453,47.442501068115234,1673.010009765625,,63.43000030517578,47.79249954223633,1681.1199951171875,,63.79999923706055,106627200,2955100,,41026000
2018-06-11,46.028785705566406,1689.1199951171875,,66.41999816894531,47.807498931884766,1689.1199951171875,,66.41999816894531,47.99250030517578,1694.239990234375,,66.93199920654297,47.5525016784668,1680.5899658203125,,64.5,47.837501525878906,1681.510009765625,,64.50199890136719,73234000,2335500,,65917500
2018-06-12,46.28152084350586,1698.75,,68.55400085449219,48.06999969482422,1698.75,,68.55400085449219,48.15250015258789,1699.510009765625,,70.99400329589844,47.787498474121094,1691.52001953125,,67.5999984741211,47.84749984741211,1693.0,,68.94000244140625,67644400,2259200,,111737000
2018-06-13,45.90122604370117,1704.8599853515625,,68.95600128173828,47.67499923706055,1704.8599853515625,,68.95600128173828,48.220001220703125,1713.75,,69.44000244140625,47.61000061035156,1700.1199951171875,,67.95999908447266,48.10499954223633,1702.81005859375,,69.34200286865234,86553600,3327500,,47349000
2018-06-14,45.925296783447266,1723.8599853515625,,71.54399871826172,47.70000076293945,1723.8599853515625,,71.54399871826172,47.89250183105469,1724.800048828125,,71.75,47.55500030517578,1708.8699951171875,,69.31999969482422,47.88750076293945,1713.47998046875,,69.5260009765625,86440400,3174400,,54905000
2018-06-15,45.45351791381836,1715.969970703125,,71.63400268554688,47.209999084472656,1715.969970703125,,71.63400268554688,47.540000915527344,1720.8699951171875,,72.93399810791016,47.064998626708984,1708.52001953125,,70.25,47.50749969482422,1714.0,,70.76799774169922,246876800,4777600,,54241500
2018-06-18,45.4294548034668,1723.7900390625,,74.16600036621094,47.185001373291016,1723.7900390625,,74.16600036621094,47.30500030517578,1726.739990234375,,74.74600219726562,46.79999923706055,1702.56005859375,,70.9000015258789,46.970001220703125,1706.260009765625,,71.08000183105469,73939600,3107700,,60366000
2018-06-19,44.69533157348633,1734.780029296875,,70.51000213623047,46.42250061035156,1734.780029296875,,70.51000213623047,46.58250045776367,1736.1099853515625,,74.0,45.86249923706055,1700.3900146484375,,69.25,46.28499984741211,1709.0400390625,,73.03199768066406,134314000,4290100,,63809500
2018-06-20,44.89028549194336,1750.0799560546875,,72.44400024414062,46.625,1750.0799560546875,,72.44400024414062,46.79999923706055,1762.9300537109375,,72.8759994506836,46.432498931884766,1741.3599853515625,,70.4000015258789,46.587501525878906,1742.5,,71.60800170898438,82514800,4332600,,41918500
2018-06-21,44.639957427978516,1730.219970703125,,69.50199890136719,46.3650016784668,1730.219970703125,,69.50199890136719,47.087501525878906,1763.0999755859375,,73.24199676513672,46.23500061035156,1717.56005859375,,69.25399780273438,46.8125,1760.0,,72.4000015258789,102847600,4941100,,39835500
2018-06-22,44.509979248046875,1715.6700439453125,,66.72599792480469,46.22999954223633,1715.6700439453125,,66.72599792480469,46.537498474121094,1743.0,,70.44999694824219,46.17499923706055,1711.9000244140625,,66.4000015258789,46.529998779296875,1742.6199951171875,,70.30799865722656,108801600,4075100,,51330500
2018-06-25,43.848060607910156,1663.1500244140625,,66.60199737548828,45.54249954223633,1663.1500244140625,,66.60199737548828,46.22999954223633,1705.0,,67.69400024414062,45.182498931884766,1646.31005859375,,65.5,45.849998474121094,1702.510009765625,,66.02400207519531,126652400,7511200,,34656500
2018-06-26,44.39204788208008,1691.0899658203125,,68.4000015258789,46.10749816894531,1691.0899658203125,,68.4000015258789,46.63249969482422,1701.5699462890625,,68.70999908447266,45.6349983215332,1663.3399658203125,,65.16000366210938,45.747501373291016,1672.3699951171875,,67.20999908447266,98276800,4386600,,37262500
2018-06-27,44.327049255371094,1660.510009765625,,68.9000015258789,46.040000915527344,1660.510009765625,,68.9000015258789,46.81999969482422,1711.949951171875,,70.15799713134766,46.00749969482422,1660.0,,67.9000015258789,46.307498931884766,1708.1099853515625,,69.0,101141200,4872200,,41668500
2018-06-28,44.649593353271484,1701.449951171875,,69.98600006103516,46.375,1701.449951171875,,69.98600006103516,46.5525016784668,1705.5,,71.40399932861328,45.95000076293945,1661.1700439453125,,69.22200012207031,46.025001525878906,1672.5400390625,,69.73200225830078,69460800,4529700,,41990000
2018-06-29,44.55571365356445,1699.800048828125,,68.58999633789062,46.27750015258789,1699.800048828125,,68.58999633789062,46.79750061035156,1723.4100341796875,,70.77200317382812,45.727500915527344,1694.3199462890625,,68.48200225830078,46.5724983215332,1717.0,,70.66600036621094,90950800,4543500,,32462000
2018-07-02,45.053958892822266,1713.780029296875,,67.01399993896484,46.79499816894531,1713.780029296875,,67.01399993896484,46.82500076293945,1713.8900146484375,,72.95600128173828,45.85499954223633,1678.06005859375,,65.97000122070312,45.95500183105469,1682.699951171875,,72.01399993896484,70925200,3185700,,93799000
2018-07-03,44.269290924072266,1693.9599609375,,62.172000885009766,45.97999954223633,1693.9599609375,,62.172000885009766,46.98749923706055,1725.0,,66.49800109863281,45.8849983215332,1692.47998046875,,61.9379997253418,46.9474983215332,1723.9599609375,,66.3499984741211,55819200,2177300,,61413000
2018-07-05,44.625518798828125,1699.72998046875,,61.832000732421875,46.349998474121094,1699.72998046875,,61.832000732421875,46.602500915527344,1710.68994140625,,62.87799835205078,46.06999969482422,1682.1500244140625,,59.24399948120117,46.314998626708984,1705.3800048828125,,62.75199890136719,66416800,2983100,,87382000
2018-07-06,45.244110107421875,1710.6300048828125,,61.779998779296875,46.99250030517578,1710.6300048828125,,61.779998779296875,47.10749816894531,1715.27001953125,,62.41400146484375,46.29999923706055,1691.6700439453125,,60.400001525878906,46.35499954223633,1696.0,,60.9900016784668,69940800,2650300,,44327500
2018-07-09,45.87233352661133,1739.02001953125,,63.70199966430664,47.64500045776367,1739.02001953125,,63.70199966430664,47.66999816894531,1739.56005859375,,63.70399856567383,47.32500076293945,1716.22998046875,,61.599998474121094,47.375,1724.050048828125,,62.39799880981445,79026400,3012000,,37984000
2018-07-10,45.81697463989258,1743.0699462890625,,64.49400329589844,47.587501525878906,1743.0699462890625,,64.49400329589844,47.81999969482422,1750.0,,65.53600311279297,47.54499816894531,1731.0,,63.84000015258789,47.6775016784668,1738.530029296875,,64.91200256347656,63756400,3002900,,47357500
2018-07-11,45.22245407104492,1755.0,,63.79199981689453,46.970001220703125,1755.0,,63.79199981689453,47.44499969482422,1756.9599609375,,64.38800048828125,46.90250015258789,1734.0,,63.013999938964844,47.125,1737.989990234375,,63.15999984741211,75326000,3209800,,24420500
2018-07-12,45.98065185546875,1796.6199951171875,,63.34199905395508,47.75749969482422,1796.6199951171875,,63.34199905395508,47.852500915527344,1798.0,,64.64600372314453,47.32749938964844,1762.1800537109375,,62.55400085449219,47.38249969482422,1764.510009765625,,64.28600311279297,72164400,4532700,,28606000
